file_name,objective,runtime_seconds
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_linear_y__seed6986_nonlin.out,1000.0,676.7838041782379
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_linear_y__seed7047_nonlin.out,1000.0,1202.962457895279
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_linear_y__seed8721_nonlin.out,1000.0,141.59713196754456
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_linear_y__seed9878_nonlin.out,1000.0,3053.7260999679565
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_mixed__seed1094_nonlin.out,1000.0,6.225898027420044
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_mixed__seed2578_nonlin.out,1000.0,6.2135169506073
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_mixed__seed3369_nonlin.out,1000.0,6.237539052963257
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_mixed__seed4451_nonlin.out,1000.0,6.1414830684661865
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_mixed__seed5286_nonlin.out,1000.0,6.193028211593628
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_mixed__seed6981_nonlin.out,1000.0,6.125872850418091
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_mixed__seed7123_nonlin.out,1000.0,6.179871082305908
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_mixed__seed7460_nonlin.out,1000.0,7.0144429206848145
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_mixed__seed7864_nonlin.out,1000.0,6.236659049987793
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_mixed__seed9286_nonlin.out,1000.0,6.176661014556885
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_only_xs__seed1029_nonlin.out,1000.0,6.123924016952515
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_only_xs__seed1169_nonlin.out,1000.0,6.113268852233887
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_only_xs__seed2779_nonlin.out,1000.0,6.145341873168945
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_only_xs__seed2836_nonlin.out,1000.0,6.14010214805603
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_only_xs__seed3769_nonlin.out,1000.0,6.547615051269531
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_only_xs__seed4973_nonlin.out,1000.0,905.3230509757996
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_only_xs__seed6648_nonlin.out,1000.0,6.136389970779419
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_only_xs__seed8069_nonlin.out,1000.0,6.197096109390259
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_only_xs__seed8164_nonlin.out,1000.0,6.2010509967803955
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_only_xs__seed9065_nonlin.out,1000.0,6.106041193008423
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_only_ys__seed2293_nonlin.out,1000.0,5.951223134994507
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_only_ys__seed2296_nonlin.out,1000.0,5.838852882385254
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_only_ys__seed2881_nonlin.out,1000.0,5.886566162109375
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_only_ys__seed3018_nonlin.out,1000.0,6.314882040023804
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_only_ys__seed3300_nonlin.out,1000.0,5.8660078048706055
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_only_ys__seed3790_nonlin.out,1000.0,5.848146915435791
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_only_ys__seed5927_nonlin.out,1000.0,5.874362945556641
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_only_ys__seed6414_nonlin.out,1000.0,6.232013940811157
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_only_ys__seed8869_nonlin.out,1000.0,5.865328073501587
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_only_ys__seed9605_nonlin.out,1000.0,5.914621114730835
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_separate__seed1354_nonlin.out,1000.0,6.189234018325806
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_separate__seed3111_nonlin.out,1000.0,6.217347860336304
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_separate__seed4166_nonlin.out,1000.0,6.309457063674927
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_separate__seed5126_nonlin.out,1000.0,6.237130880355835
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_separate__seed5235_nonlin.out,1000.0,6.283883094787598
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_separate__seed5570_nonlin.out,1000.0,14.182918071746826
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_separate__seed6454_nonlin.out,1000.0,6.7461559772491455
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_separate__seed7953_nonlin.out,1000.0,6.25727391242981
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_separate__seed8295_nonlin.out,1000.0,6.284433126449585
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__few_vars_many_perms_separate__seed9412_nonlin.out,1000.0,6.300161838531494
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__many_vars_few_perms_linear_x__seed1086_nonlin.out,1000.0,80.90836787223816
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__many_vars_few_perms_linear_x__seed1211_nonlin.out,1000.0,51.677019119262695
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__many_vars_few_perms_linear_x__seed1343_nonlin.out,1000.0,87.82161402702332
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__many_vars_few_perms_linear_x__seed2978_nonlin.out,1000.0,116.16435194015503
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__many_vars_few_perms_linear_x__seed6378_nonlin.out,1000.0,55.69156098365784
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__many_vars_few_perms_linear_x__seed6606_nonlin.out,1000.0,102.49667501449585
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__many_vars_few_perms_linear_x__seed7078_nonlin.out,1000.0,79.43501400947571
hardness_halfcap_sorted_n2000_B100_classes3_seed2042__many_vars_few_perms_linear_x__seed9437_nonlin.out,1000.0,42.653669118881226
