file,work_time,runtime,optimum
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_pure_linear_x_and_y__seed9107.out,82.23,39.38,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_pure_linear_x_and_y__seed9165.out,98.18,41.89,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_pure_linear_x_and_y__seed9701.out,367.35,131.35,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_separate__seed1620.out,3.45,2.49,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_separate__seed1933.out,4.82,3.17,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_separate__seed2855.out,5.77,3.54,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_separate__seed2938.out,3.66,2.62,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_separate__seed4601.out,7.20,4.38,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_separate__seed5783.out,5.83,3.49,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_separate__seed6406.out,4.60,3.19,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_separate__seed9551.out,3.38,2.46,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_few_perms_separate__seed9651.out,3.65,2.62,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_linear_x__seed1469.out,41.96,21.41,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_linear_x__seed1880.out,40.38,17.67,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_linear_x__seed3718.out,32.19,16.26,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_linear_x__seed5025.out,33.13,16.80,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_linear_x__seed5874.out,35.92,16.33,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_linear_x__seed6573.out,58.94,27.42,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_linear_x__seed7590.out,44.14,21.15,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_linear_x__seed7883.out,36.57,18.06,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_linear_x__seed8572.out,57.98,28.95,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_linear_x__seed8774.out,45.42,21.71,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_linear_y__seed1181.out,48.15,23.95,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_linear_y__seed1356.out,29.68,14.75,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_linear_y__seed1590.out,33.80,17.52,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_linear_y__seed1988.out,62.08,28.85,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_linear_y__seed2572.out,54.14,23.09,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_linear_y__seed3072.out,27.18,15.10,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_linear_y__seed3236.out,49.07,24.71,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_linear_y__seed3677.out,39.92,21.44,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_linear_y__seed3862.out,37.62,19.69,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_linear_y__seed5427.out,44.82,22.63,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_mixed__seed2182.out,30.72,13.52,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_mixed__seed3087.out,5.44,3.32,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_mixed__seed3591.out,5.59,3.28,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_mixed__seed4825.out,39.94,16.51,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_mixed__seed5150.out,4.63,3.02,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_mixed__seed6363.out,4.84,3.08,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_mixed__seed7032.out,53.67,22.66,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_mixed__seed7737.out,65.01,29.38,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_mixed__seed8354.out,5.66,3.31,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_mixed__seed9864.out,4.00,2.78,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_only_x__seed1325.out,6.36,3.64,5.000000000000e+02
hardness_halfcap_sorted_n1000_B100_classes9_seed1042__few_vars_many_perms_only_x__seed3310.out,5.37,3.36,5.000000000000e+02
