filename,status,objective,gap,work_units,runtime_seconds,initial_gap,simplex_iters,nodes
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_few_perms_separate__seed4909.out,Optimal solution found,5.120000000000e+02,0.0000%,5.02,3.46,0.00%,38791,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_many_perms_pure_linear_only_y__seed3641.out,Optimal solution found,5.120000000000e+02,0.0000%,170.26,85.14,31.9%,670266,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_few_perms_linear_y__seed9906.out,Optimal solution found,5.120000000000e+02,0.0000%,46.70,26.04,0.61%,42584,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_few_perms_linear_y__seed6360.out,Optimal solution found,5.120000000000e+02,0.0000%,31.03,19.12,0.23%,46691,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__many_vars_few_perms_mixed__seed3287.out,Optimal solution found,5.120000000000e+02,0.0000%,3.87,3.02,0.00%,32464,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_many_perms_only_y__seed7865.out,Optimal solution found,5.120000000000e+02,0.0000%,7.08,4.21,0.00%,30870,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__many_vars_few_perms_pure_linear_only_x__seed1691.out,Optimal solution found,5.120000000000e+02,0.0000%,197.88,114.98,35.7%,463791,674
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_few_perms_only_y__seed4865.out,Optimal solution found,5.120000000000e+02,0.0000%,6.39,4.05,0.00%,30521,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_few_perms_linear_x__seed6965.out,Optimal solution found,5.120000000000e+02,0.0000%,108.88,58.78,0.23%,42305,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_few_perms_only_x__seed3876.out,Optimal solution found,5.120000000000e+02,0.0000%,4.35,3.26,0.00%,33044,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_many_perms_pure_linear_x_and_y__seed8273.out,Optimal solution found,5.120000000000e+02,0.0000%,320.29,169.24,35.0%,602107,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_few_perms_linear_y__seed1087.out,Optimal solution found,5.120000000000e+02,0.0000%,64.38,39.22,0.61%,36819,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_many_perms_pure_linear_only_x__seed4033.out,Optimal solution found,5.120000000000e+02,0.0000%,226.33,128.22,35.5%,472193,869
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_few_perms_only_x__seed2514.out,Optimal solution found,5.120000000000e+02,0.0000%,4.55,3.24,0.00%,35704,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_many_perms_pure_linear_x_and_y__seed9390.out,Optimal solution found,5.120000000000e+02,0.0000%,166.81,86.72,34.5%,469924,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_few_perms_pure_linear_x_and_y__seed4652.out,Optimal solution found,5.120000000000e+02,0.0000%,172.85,89.91,35.5%,577263,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__few_vars_few_perms_linear_x__seed5614.out,Optimal solution found,5.120000000000e+02,0.0000%,34.01,18.71,0.23%,38764,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__many_vars_few_perms_mixed__seed1187.out,Optimal solution found,5.120000000000e+02,0.0000%,5.89,3.88,0.00%,30647,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__numerous_vars_few_perms_separate__seed8174.out,Optimal solution found,5.120000000000e+02,0.0000%,96.32,55.49,3.79%,57460,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__many_vars_few_perms_pure_linear_only_y__seed4839.out,Optimal solution found,5.120000000000e+02,0.0000%,473.75,250.04,23.4%,3300034,2180
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__many_vars_few_perms_pure_linear_only_y__seed5299.out,Optimal solution found,5.120000000000e+02,0.0000%,84.54,49.63,13.8%,104543,1
hardness_halfcap_sorted_n1024_B100_classes7_seed1066__many_vars_few_perms_only_y__seed8524.out,Optimal solution found,5.120000000000e+02,0.0000%,3.67,2.89,0.00%,36753,1
